1.0934 1.0976 0.0006 0.610 0.695 0.001 25. 36. 0.5 121. 145. 1. 145. 180. 5.
1.0934 0.610  25.0 130. 145.          516.2
1.0934 0.610  25.0 130. 150.          529.0
1.0934 0.610  25.0 130. 155.          540.3
1.0934 0.610  25.0 130. 160.          549.8
1.0934 0.610  25.0 130. 165.          557.5
1.0934 0.610  25.0 130. 170.          563.1
1.0934 0.610  25.0 130. 175.          566.5
1.0934 0.610  25.0 130. 180.          567.6
1.0934 0.610  25.0 131. 145.          515.2
1.0934 0.610  25.0 131. 150.          527.7
1.0934 0.610  25.0 131. 155.          538.7
1.0934 0.610  25.0 131. 160.          548.0
1.0934 0.610  25.0 131. 165.          555.4
1.0934 0.610  25.0 131. 170.          560.9
1.0934 0.610  25.0 131. 175.          564.1
1.0934 0.610  25.0 131. 180.          565.3
1.0934 0.610  25.0 132. 145.          514.2
1.0934 0.610  25.0 132. 150.          526.3
1.0934 0.610  25.0 132. 155.          537.0
1.0934 0.610  25.0 132. 160.          546.0
1.0934 0.610  25.0 132. 165.          553.3
1.0934 0.610  25.0 132. 170.          558.5
1.0934 0.610  25.0 132. 175.          561.7
1.0934 0.610  25.0 132. 180.          562.8
1.0934 0.610  25.0 133. 145.          513.1
1.0934 0.610  25.0 133. 150.          524.9
1.0934 0.610  25.0 133. 155.          535.2
1.0934 0.610  25.0 133. 160.          544.0
1.0934 0.610  25.0 133. 165.          551.0
1.0934 0.610  25.0 133. 170.          556.1
1.0934 0.610  25.0 133. 175.          559.2
1.0934 0.610  25.0 133. 180.          560.3
1.0934 0.610  25.0 134. 145.          511.9
1.0934 0.610  25.0 134. 150.          523.3
1.0934 0.610  25.0 134. 155.          533.4
1.0934 0.610  25.0 134. 160.          541.9
1.0934 0.610  25.0 134. 165.          548.7
1.0934 0.610  25.0 134. 170.          553.6
1.0934 0.610  25.0 134. 175.          556.6
1.0934 0.610  25.0 134. 180.          557.6
1.0934 0.610  25.0 135. 145.          510.6
1.0934 0.610  25.0 135. 150.          521.7
1.0934 0.610  25.0 135. 155.          531.4
1.0934 0.610  25.0 135. 160.          539.7
1.0934 0.610  25.0 135. 165.          546.2
1.0934 0.610  25.0 135. 170.          551.0
1.0934 0.610  25.0 135. 175.          554.0
1.0934 0.610  25.0 135. 180.          554.9
1.0934 0.610  25.0 136. 145.          509.2
1.0934 0.610  25.0 136. 150.          520.0
1.0934 0.610  25.0 136. 155.          529.4
1.0934 0.610  25.0 136. 160.          537.4
1.0934 0.610  25.0 136. 165.          543.7
1.0934 0.610  25.0 136. 170.          548.4
1.0934 0.610  25.0 136. 175.          551.2
1.0934 0.610  25.0 136. 180.          552.1
1.0934 0.610  25.0 137. 145.          507.8
1.0934 0.610  25.0 137. 150.          518.1
1.0934 0.610  25.0 137. 155.          527.3
1.0934 0.610  25.0 137. 160.          535.0
1.0934 0.610  25.0 137. 165.          541.2
1.0934 0.610  25.0 137. 170.          545.6
1.0934 0.610  25.0 137. 175.          548.4
1.0934 0.610  25.0 137. 180.          549.3
1.0934 0.610  25.0 138. 145.          506.2
1.0934 0.610  25.0 138. 150.          516.2
1.0934 0.610  25.0 138. 155.          525.1
1.0934 0.610  25.0 138. 160.          532.5
1.0934 0.610  25.0 138. 165.          538.5
1.0934 0.610  25.0 138. 170.          542.8
1.0934 0.610  25.0 138. 175.          545.5
1.0934 0.610  25.0 138. 180.          546.4
1.0934 0.610  25.0 139. 145.          504.6
1.0934 0.610  25.0 139. 150.          514.3
1.0934 0.610  25.0 139. 155.          522.8
1.0934 0.610  25.0 139. 160.          530.0
1.0934 0.610  25.0 139. 165.          535.8
1.0934 0.610  25.0 139. 170.          540.0
1.0934 0.610  25.0 139. 175.          542.5
1.0934 0.610  25.0 139. 180.          543.3
1.0934 0.610  25.0 140. 145.          502.9
1.0934 0.610  25.0 140. 150.          512.2
1.0934 0.610  25.0 140. 155.          520.5
1.0934 0.610  25.0 140. 160.          527.4
1.0934 0.610  25.0 140. 165.          533.0
1.0934 0.610  25.0 140. 170.          537.0
1.0934 0.610  25.0 140. 175.          539.5
1.0934 0.610  25.0 140. 180.          540.3
1.0934 0.610  25.0 141. 145.          501.1
1.0934 0.610  25.0 141. 150.          510.1
1.0934 0.610  25.0 141. 155.          518.1
1.0934 0.610  25.0 141. 160.          524.8
1.0934 0.610  25.0 141. 165.          530.1
1.0934 0.610  25.0 141. 170.          534.0
1.0934 0.610  25.0 141. 175.          536.4
1.0934 0.610  25.0 141. 180.          537.2
1.0934 0.610  25.0 142. 145.          499.3
1.0934 0.610  25.0 142. 150.          508.0
1.0934 0.610  25.0 142. 155.          515.6
1.0934 0.610  25.0 142. 160.          522.1
1.0934 0.610  25.0 142. 165.          527.2
1.0934 0.610  25.0 142. 170.          530.9
1.0934 0.610  25.0 142. 175.          533.2
1.0934 0.610  25.0 142. 180.          534.0
1.0934 0.610  25.0 143. 145.          497.3
1.0934 0.610  25.0 143. 150.          505.7
1.0934 0.610  25.0 143. 155.          513.1
